Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
15,10,0,8276
75,0,0,12575
35,8,0,12575
29,12,0,12575
10,5,0,12575
11,7,0,12575
57,9,0,17364
51,3,0,17364
24,12,0,17364
39,9,0,11245
34,6,0,11245
16,9,0,11245
13,8,0,11245
52,0,0,11831
50,11,0,11831
25,12,0,11831
21,12,0,11831
38,9,0,9506
31,12,0,9506
9,4,0,9506
7,2,0,9506
35,15,0,16625
33,11,0,16625
15,9,0,16625
11,7,0,16625
34,9,0,9418
30,9,0,9418
9,3,0,9418
6,1,0,9418
11,5,0,9418
42,9,0,13025
22,15,0,13025
18,12,0,13025
13,7,0,13025
70,0,0,13025
41,10,0,13367
30,9,0,13367
18,13,0,13367
11,5,0,13367
10,4,0,13367
58,4,0,13367
15,9,0,13367
13,7,0,13367
52,10,0,11050
45,10,0,11050
25,10,0,11050
78,10,0,9767
68,8,0,9767
54,1,0,10450
45,9,0,10450
22,13,0,10450
17,12,0,10450
58,2,0,11683
50,5,0,11683
26,12,0,11683
22,8,0,11683
2,0,0,11683
0,0,0,11683
28,9,0,16483
19,10,0,16483
50,7,0,16483
26,9,0,16483
65,7,0,9208
57,8,0,10447
50,7,0,10447
32,14,0,10447
26,10,0,10447
6,0,0,10447
2,0,0,10447
48,9,0,9508
29,14,0,9508
24,15,0,9508
27,14,0,9508
70,4,0,5942
65,3,0,5942
30,10,0,5942
65,8,0,9925
60,0,0,9925
33,8,0,9925
30,8,0,9925
28,12,0,9925
0,0,0,9925
75,3,0,10798
65,0,0,10798
45,12,0,10798
35,12,0,10798
10,2,0,10798
8,2,0,10798
